ID	平均購入点数	平均来店間隔	購入有無
1	3.5	3.0	0
2	4.8	2.7	0
3	2.5	3.4	0
4	3.7	3.5	0
5	5.6	2.9	0
6	4.4	3.1	0
7	3.1	3.4	0
8	3.6	3.1	0
9	3.8	2.6	0
10	4.2	3.5	0
11	1.8	2.4	0
12	4.4	3.3	0
13	3.5	3.8	0
14	5.2	3.1	0
15	4.4	2.9	0
16	2.0	2.4	0
17	5.6	3.0	0
18	5.9	3.1	0
19	4.8	3.2	0
20	3.9	2.4	0
21	3.9	2.8	0
22	6.1	2.8	0
23	5.4	3.4	0
24	4.3	2.9	0
25	3.7	3.3	0
26	4.0	2.8	0
27	3.2	3.4	0
28	4.0	3.2	0
29	3.9	3.5	0
30	3.6	3.1	0
31	4.5	3.0	0
32	6.1	2.4	0
33	4.4	3.1	0
34	4.3	2.9	0
35	4.8	2.7	0
36	5.7	2.7	0
37	4.5	2.6	0
38	3.1	1.5	0
39	5.1	3.0	0
40	5.6	2.8	0
41	3.8	2.5	0
42	4.0	2.4	0
43	5.0	3.1	0
44	4.4	3.1	0
45	5.2	2.5	0
46	5.7	3.0	0
47	5.2	3.1	0
48	3.1	1.3	0
49	4.5	2.6	0
50	3.7	2.6	0
51	5.7	3.0	0
52	5.7	2.2	0
53	4.2	2.5	0
54	5.9	2.6	0
55	4.8	2.7	0
56	5.4	2.9	0
57	4.1	2.7	0
58	5.1	2.4	0
59	6.3	2.5	0
60	1.9	1.1	0
61	1.2	1.6	0
62	3.7	1.3	0
63	5.3	2.7	0
64	5.4	2.3	0
65	5.2	3.0	0
66	4.1	2.9	0
67	3.8	2.0	0
68	3.4	1.8	0
69	3.4	2.8	0
70	5.2	2.9	0
71	2.5	1.0	0
72	5.8	2.8	0
73	5.6	2.6	0
74	4.2	2.4	0
75	5.2	2.8	0
76	5.7	2.2	0
77	5.4	2.9	0
78	3.7	2.8	0
79	4.0	2.3	0
80	2.0	1.0	0
81	5.2	2.3	0
82	1.8	1.9	0
83	4.8	2.5	0
84	3.9	2.5	0
85	4.5	2.7	0
86	5.3	2.6	0
87	1.8	1.7	0
88	5.2	2.4	0
89	3.4	2.6	0
90	6.5	2.4	0
91	4.0	2.6	0
92	2.6	1.8	0
93	4.6	2.4	0
94	3.4	1.7	0
95	5.4	3.0	0
96	3.7	2.8	0
97	4.1	2.9	0
98	4.4	3.2	0
99	5.0	2.6	0
100	4.0	2.8	0
101	2.8	4.2	1
102	1.9	4.9	1
103	2.5	5.4	1
104	1.3	5.2	1
105	4.2	5.0	1
106	2.8	4.6	1
107	1.7	4.8	1
108	1.0	4.9	1
109	2.0	5.1	1
110	3.0	3.9	1
111	1.7	5.0	1
112	1.5	5.4	1
113	1.7	4.6	1
114	1.5	4.9	1
115	1.5	5.0	1
116	3.1	4.8	1
117	2.0	4.9	1
118	2.8	5.1	1
119	1.2	4.7	1
120	2.4	5.1	1
121	2.2	4.6	1
122	1.9	4.8	1
123	2.2	4.7	1
124	2.5	4.8	1
125	1.2	4.3	1
126	1.8	5.5	1
127	2.7	5.6	1
128	3.6	5.1	1
129	1.2	5.0	1
130	2.1	5.2	1
131	1.7	5.0	1
132	2.4	5.5	1
133	1.5	3.9	1
134	2.2	4.2	1
135	2.7	4.6	1
136	3.2	5.0	1
137	2.2	5.0	1
138	1.7	5.2	1
139	2.3	5.3	1
140	1.9	4.5	1
141	2.7	5.5	1
142	2.6	4.1	1
143	3.1	4.9	1
144	2.8	4.1	1
145	2.0	4.2	1
146	2.1	5.0	1
147	2.1	4.7	1
148	1.1	5.2	1
149	1.7	4.3	1
150	1.6	5.2	1
151	1.0	4.5	1
152	3.3	4.3	1
153	1.6	4.1	1
154	1.4	4.8	1
155	1.7	4.6	1
156	3.0	5.2	1
157	3.0	4.4	1
158	2.6	4.3	1
159	1.7	4.5	1
160	2.0	4.6	1
161	2.1	4.8	1
162	1.3	4.7	1
163	1.8	4.7	1
164	1.8	4.6	1
165	2.4	4.7	1
166	2.6	4.0	1
167	1.5	4.5	1
168	2.9	4.7	1
169	2.4	5.0	1
170	1.8	2.8	1
171	2.2	4.1	1
172	2.0	4.6	1
173	2.5	4.4	1
174	1.3	5.0	1
175	1.0	5.3	1
176	1.4	4.9	1
177	2.6	4.4	1
178	1.2	4.2	1
179	1.7	4.1	1
180	1.7	5.0	1
181	2.4	3.8	1
182	1.3	4.2	1
183	2.8	5.1	1
184	1.7	4.5	1
185	2.8	4.4	1
186	2.7	4.7	1
187	2.5	4.8	1
188	2.2	5.3	1
189	1.2	4.7	1
190	1.8	5.2	1
191	2.4	4.8	1
192	2.3	4.6	1
193	2.0	4.7	1
194	1.2	4.7	1
195	2.1	5.2	1
196	2.8	4.9	1
197	2.9	4.3	1
198	1.8	4.4	1
199	2.9	4.7	1
200	1.6	4.4	1
